Server Info
bufferLevel,4.41,5.648,6.409,6.458,59.946,11.138,61.155,28.192
GMSD,0,0,0.93576,0,0.79382,0,0,0
bitrateSwitch,0,1,0,1,1,1,1,0
stalling,0,0,0,0,0,0,0,0
stallingTime (sec),0,0,0,0,0,0,0,0
Throughput (Kbps),5899,4973,4762,3255,1010,2361,907,1686

IP,10.0.0.31
Attribute,HIGH
initTime,2023-05-18 00:25:00.006355
endTime,2023-05-18 00:27:20.714028
liveTime(sec),140.707673
startupDelay,1481
Total stalling Event,0
player width,1280
player height,720
time,14.948,19.950,25.474,31.521,116.528
elapsed,0.000,5.002,10.526,16.573,101.580
bitrate,2000,1401,1401,800,400
framerate,29.97,29.97,29.97,29.97,29.97
bufferLevel,4.617,8.712,22.01,33.672,60.856
GMSD,0,0,0.92895,0,0.87972
bitrateSwitch,0,1,0,1,1
stalling,0,0,0,0,0
stallingTime (sec),0,0,0,0,0
Throughput (Kbps),5899,6388,8021,4760,1126

IP,10.0.0.18
Attribute,HIGH
initTime,2023-05-18 00:25:00.382063
endTime,2023-05-18 00:27:20.714051
liveTime(sec),140.331988
startupDelay,1188
Total stalling Event,0
player width,1280
player height,720
time,15.669,20.866,27.013,32.144,90.339,92.846,93.900,98.528,100.417,101.980,102.367,105.121,106.616,106.825,111.219,111.485,115.769,116.172,119.607,119.773,123.808
elapsed,0.000,5.197,11.344,16.475,74.670,77.177,78.231,82.859,84.748,86.311,86.698,89.452,90.947,91.156,95.550,95.816,100.100,100.503,103.938,104.104,108.139
bitrate,2000,1401,1401,800,400,400,800,400,400,400,400,400,400,400,400,400,400,400,400,400,400
framerate,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97
bufferLevel,4.291,10.712,13.598,17.759,26.986,57.265,18.704,59.329,35.623,62.177,61.916,60.106,61.47,61.709,58.315,59.448,58.94,60.575,60.066,60.534,60.788
GMSD,0,0,0.96537,0,0.89190,0,0,0,0,0.87025,0,0,0,0.94392,0.88406,0,0.86559,0.91434,0.97048,0,0.82872
bitrateSwitch,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
stalling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stallingTime (sec),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Throughput (Kbps),5899,5914,5980,2734,2425,1959,2092,678,1703,904,1243,1033,1035,986,547,914,910,907,1027,1006,984

IP,10.0.0.50
Attribute,HIGH
initTime,2023-05-18 00:25:00.527932
endTime,2023-05-18 00:27:20.714054
liveTime(sec),140.186122
startupDelay,512
Total stalling Event,0
player width,1280
player height,720
time,16.267,21.326,27.352,33.028,47.692,64.087,70.137,87.285,89.346,89.484,90.679,93.137,97.144,99.328,100.192,102.830,103.453,107.897,114.744,118.646,121.584,126.260,129.792
elapsed,0.000,5.059,11.085,16.761,31.425,47.820,53.870,71.018,73.079,73.217,74.412,76.870,80.877,83.061,83.925,86.563,87.186,91.630,98.477,102.379,105.317,109.993,113.525
bitrate,2000,1401,1401,800,800,800,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400
framerate,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97
bufferLevel,5.898,10.841,19.853,32.809,40.821,42.346,58.935,58.056,61.372,60.274,60.756,46.066,58.543,58.95,61.903,59.219,57.488,59.738,60.245,60.488,61.299,62.131,58.966
GMSD,0,0,0.91912,0,0.98576,0,0,0.93519,0.93653,0,0,0,0,0.93428,0.95858,0.95678,0.92110,0,0.87042,0,0.85441,0,0.87973
bitrateSwitch,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stalling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stallingTime (sec),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Throughput (Kbps),7765,6403,6140,4760,2844,1927,950,587,1078,940,1126,2290,1399,904,1267,607,814,957,1065,943,1095,913,580

IP,10.0.0.32
Attribute,HIGH
initTime,2023-05-18 00:25:00.988698
endTime,2023-05-18 00:27:20.714057
liveTime(sec),139.725359
startupDelay,863
Total stalling Event,0
player width,1280
player height,720
time,16.706,21.716,27.737,33.584,85.361,88.022,88.514,90.476,91.026,94.716,98.035,98.932,99.393,100.468,102.701,105.650,107.825,110.287,114.203,118.812
elapsed,0.000,5.010,11.031,16.878,68.655,71.316,71.808,73.770,74.320,78.010,81.329,82.226,82.687,83.762,85.995,88.944,91.119,93.581,97.497,102.106
bitrate,2000,1401,1401,800,800,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400
framerate,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97
bufferLevel,7.072,7.744,8.055,16.381,17.188,25.433,60.765,37.616,58.714,59.319,60.951,59.809,57.217,61.532,61.959,59.037,58.353,59.555,59.641,59.091
GMSD,0,0,0.98478,0,0,0.89583,0.86185,0.92440,0,0.90950,0.86546,0.93369,0,0,0,0.93891,0,0,0.85521,0
bitrateSwitch,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stalling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stallingTime (sec),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Throughput (Kbps),7765,4522,4772,3943,2092,2138,808,2050,629,940,1078,1126,1905,950,1225,889,629,957,1065,943

IP,10.0.0.45
Attribute,HIGH
initTime,2023-05-18 00:25:02.229739
endTime,2023-05-18 00:27:20.714059
liveTime(sec),138.48432
startupDelay,1542
Total stalling Event,0
player width,1280
player height,720
time,17.665,23.691,28.370,35.579,118.451,125.164,125.910,128.677,129.903,131.761
elapsed,0.000,6.026,10.705,17.914,100.786,107.499,108.245,111.012,112.238,114.096
bitrate,2000,1401,1401,1401,400,400,800,400,400,400
framerate,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97
bufferLevel,4.005,3.878,1.867,0.142,36.835,23.229,2.608,10.725,60.103,61.085
GMSD,0,0,0.91588,0,0.81008,0,0,0,0,0.89717
bitrateSwitch,0,1,0,0,1,0,1,1,0,0
stalling,0,0,0,1,0,0,0,0,0,0
stallingTime (sec),0,0,0,1,1,1,1,1,1,1
Throughput (Kbps),5899,3674,2714,1881,2008,1847,3004,2400,2252,950

IP,10.0.0.13
Attribute,HIGH
initTime,2023-05-18 00:25:02.459767
endTime,2023-05-18 00:27:20.714062
liveTime(sec),138.254295
startupDelay,1523
Total stalling Event,0
player width,1280
player height,720
time,17.573,22.965,27.944,35.488,105.942,108.599,115.534,124.676,125.419
elapsed,0.000,5.392,10.371,17.915,88.369,91.026,97.961,107.103,107.846
bitrate,2000,1401,1401,800,400,400,400,400,400
framerate,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97
bufferLevel,4.007,9.093,4.794,2.843,31.811,61.387,60.34,48.704,61.461
GMSD,0,0,0.96084,0,0.88259,0,0.86366,0,0
bitrateSwitch,0,1,0,1,1,0,0,0,0
stalling,0,0,0,0,0,0,0,0,0
stallingTime (sec),0,0,0,0,0,0,0,0,0
Throughput (Kbps),5899,6388,3347,2138,2007,1658,1035,1949,904

IP,10.0.0.14
Attribute,HIGH
initTime,2023-05-18 00:25:03.580572
endTime,2023-05-18 00:27:20.714065
liveTime(sec),137.133493
startupDelay,1423
Total stalling Event,0
player width,1280
player height,720
time,18.795,25.405,29.472,84.083,86.639,86.874,89.265,90.184,94.544,96.006,96.211,97.780,99.489,100.906,101.448,103.686,107.029,112.265,117.872,120.096,124.841
elapsed,0.000,6.610,10.677,65.288,67.844,68.079,70.470,71.389,75.749,77.211,77.416,78.985,80.694,82.111,82.653,84.891,88.234,93.470,99.077,101.301,106.046
bitrate,2000,1401,1401,400,400,400,400,400,400,400,400,400,800,400,400,400,400,400,400,400,400
framerate,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97
bufferLevel,4.366,5.688,3.757,25.107,62.318,58.212,58.571,59.004,59.505,60.375,12.448,37.2,8.519,60.444,62.083,62.359,58.518,58.162,58.971,59.791,59.053
GMSD,0,0,0.91831,0.97452,0,0,0,0,0.86116,0.86721,0.89114,0.93481,0,0,0,0.93390,0.88305,0,0.86047,0,0.85740
bitrateSwitch,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
stalling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stallingTime (sec),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Throughput (Kbps),7335,6387,3347,1787,1078,1905,950,904,940,1126,2165,2050,3321,808,950,911,607,957,1065,943,1095

IP,10.0.0.46
Attribute,HIGH
initTime,2023-05-18 00:25:03.707523
endTime,2023-05-18 00:27:20.714067
liveTime(sec),137.006544
startupDelay,1614
Total stalling Event,0
player width,1280
player height,720
time,19.551,25.219,30.305,42.625,88.807,92.481,96.507,98.770,99.783,102.837,104.368,106.619,107.304,107.720,108.427,109.231,112.817,114.572,118.204,121.785,125.898,128.643
elapsed,0.000,5.668,10.754,23.074,69.256,72.930,76.956,79.219,80.232,83.286,84.817,87.068,87.753,88.169,88.876,89.680,93.266,95.021,98.653,102.234,106.347,109.092
bitrate,2000,2000,1401,1401,400,400,400,400,400,400,800,400,400,400,400,400,400,400,400,400,400,400
framerate,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97
bufferLevel,5.276,0.417,4.371,0,14.703,35.447,59.461,60.345,61.759,59.37,1.479,61.361,62.367,60.641,55.358,6.052,61.141,58.763,58.789,59.28,60.155,60.598
GMSD,0,0,0.99588,0,0.97857,0.80351,0.87199,0.86729,0,0.89530,0,0.89052,0,0,0,0,0.92228,0,0.84310,0,0.90142,0
