Server Info
initTime,2023-05-11 13:14:23.521642
endTime,2023-05-11 13:16:30.083401
liveTime(sec),126.561759
startupDelay,3748
Total stalling Event,0
player width,1280
player height,720
time,25.908,35.391,45.416
elapsed,0.000,9.483,19.508
bitrate,400,400,400
framerate,29.97,29.97,29.97
bufferLevel,8.317,11.996,21.916
GMSD,0,0.68368,0
bitrateSwitch,0,0,0
stalling,0,0,0
stallingTime (sec),0,0,0
Throughput (Kbps),1256,1241,1959

IP,10.0.0.33
Attribute,HIGH
initTime,2023-05-11 13:14:27.094136
endTime,2023-05-11 13:16:29.373172
liveTime(sec),122.279036
startupDelay,1126
Total stalling Event,0
player width,1280
player height,720
time,26.591,31.666,42.261,46.446
elapsed,0.000,5.075,15.670,19.855
bitrate,400,400,400,400
framerate,29.97,29.97,29.97,29.97
bufferLevel,46.677,39.648,27.608,15.566
GMSD,0,0,0.79014,0
bitrateSwitch,0,0,0,0
stalling,0,0,0,0
stallingTime (sec),0,0,0,0
Throughput (Kbps),7279,265,0,0

IP,10.0.0.15
Attribute,HIGH
initTime,2023-05-11 13:14:28.141565
endTime,2023-05-11 13:16:29.963127
liveTime(sec),121.821562
startupDelay,1154
Total stalling Event,0
player width,1280
player height,720
time,27.494,32.479,42.575,46.701
elapsed,0.000,4.985,15.081,19.207
bitrate,400,400,400,400
framerate,29.97,29.97,29.97,29.97
bufferLevel,46.589,34.617,24.439,44.488
GMSD,0,0,0.78420,0
bitrateSwitch,0,0,0,0
stalling,0,0,0,0
stallingTime (sec),0,0,0,0
Throughput (Kbps),7279,0,0,2486

IP,10.0.0.19
Attribute,HIGH
initTime,2023-05-11 13:14:35.725353
endTime,2023-05-11 13:16:29.228243
liveTime(sec),113.50289
startupDelay,1508
Total stalling Event,0
player width,1280
player height,720
time,35.962,45.231
elapsed,0.000,9.269
bitrate,2000,1401
framerate,29.97,29.97
bufferLevel,7.8,47.486
GMSD,0,0
bitrateSwitch,0,1
stalling,0,0
stallingTime (sec),0,0
Throughput (Kbps),7765,16739

IP,10.0.0.45
Attribute,HIGH
initTime,2023-05-11 13:14:38.188692
endTime,2023-05-11 13:16:29.984411
liveTime(sec),111.795719
startupDelay,1293
Total stalling Event,0
player width,1280
player height,720
time,42.878,46.636
elapsed,0.000,3.758
bitrate,2000,1401
framerate,29.97,29.97
bufferLevel,3.966,36.647
GMSD,0,0
bitrateSwitch,0,1
stalling,0,0
stallingTime (sec),0,0
Throughput (Kbps),5899,16330

IP,10.0.0.34
Attribute,HIGH
initTime,2023-05-11 13:14:27.962550
endTime,2023-05-11 13:16:29.995432
liveTime(sec),122.032882
startupDelay,587
Total stalling Event,0
player width,1280
player height,720
time,27.900,33.106,43.045,46.589
elapsed,0.000,5.206,15.145,18.689
bitrate,2000,1401,1401,800
framerate,29.97,29.97,29.97,29.97
bufferLevel,6.469,46.393,46.632,46.583
GMSD,0,0,0.98342,0
bitrateSwitch,0,1,0,1
stalling,0,0,0,0
stallingTime (sec),0,0,0,0
Throughput (Kbps),8186,16739,3763,1474

IP,10.0.0.6
Attribute,HIGH
initTime,2023-05-11 13:14:42.451522
endTime,2023-05-11 13:16:48.003127
liveTime(sec),125.551605
startupDelay,620
Total stalling Event,0
player width,1280
player height,720
time,45.537,63.484
elapsed,0.000,17.947
bitrate,2000,2000
framerate,29.97,29.97
bufferLevel,21.496,10.488
GMSD,0,0
bitrateSwitch,0,0
stalling,0,0
stallingTime (sec),0,0
Throughput (Kbps),11458,36144

IP,10.0.0.31
Attribute,HIGH
initTime,2023-05-11 13:14:19.664031
endTime,2023-05-11 13:16:49.331907
liveTime(sec),149.667876
startupDelay,1262
Total stalling Event,0
player width,1280
player height,720
time,19.109,24.244,29.005,34.308,44.676,64.861
elapsed,0.000,5.135,9.896,15.199,25.567,45.752
